CORRIDA,TURMA,PRODUCAO (T),PRODUCAO ACUMULADA (T),SUCATA (T),RENDIMENTO (%),POTENCIA (MW),POTENCIA (kWh),kWh/T,kWh/T ACUMULADO,kWh/min,kWh/min ACUMULADO,LAN O2 (Nm3),CARVAO (Kg),CJ O2 (Nm3),CJ GN (Nm3),PW_OFF (min),PW_ON (min),TTT (min),TEMP ,CARBONO (%),Turno
65812,DI,25.24308,25.24308,25,100.0,19.52257007438,11209,444,444,325,325,91,0,876.9332,180.0013,26.55,34.45,61,0,0,Manhā
65813,DI,24.83758,50.08066,25,99.35032,21.65317567567,10015,403,424,361,341,98,0,59.0303319,51.9799,30.33333333,27.75,58.08333333333,0,0,Manhā
65814,DI,25.08088,75.16154,25,100.0,21.31332821038,9751,389,412,355,346,70,0,978.1425,127.402424,36.93333333,27.45,64.38333333333,1661,0.0590000003576279,Manhā
65815,AD,26.16993,101.33147,26,100.0,21.22535188756,8502,325,390,354,347,186,0,596.77433,134.08677,20.33333333,24.03333333333,44.36666666666,1630,0.0299999993294477,Manhā
65816,AD,25.13301,126.46448,25,100.0,20.93066134443,8773,349,382,349,348,103,0,642.53159,160.51511,17.3,25.15,42.45,1640,0.0520000010728836,Manhā
65817,AD,25.01137,151.47585,25,100.0,21.52446273341,9285,371,380,359,349,103,0,739.56955,149.04302,7.85,25.88333333333,33.73333333333,1634,0.0649999976158142,Manhā
65818,AD,26.12359,177.59944,26,100.0,21.42075968267,9247,354,376,357,350,120,0,750.65593,183.77503,18.16666666,25.9,44.06666666666,1648,0.0610000006854534,Manhā
65819,AD,25.45162,203.05106,25,100.0,20.96182486656,9410,370,375,349,350,113,0,800.734,187.55403,17.01666666,26.93333333333,43.95,1641,0.0370000004768372,Manhā
65820,AD,25.04612,228.09718,25,100.0,20.95332399764,9254,369,375,349,350,130,0,786.69751,163.7758,10.71666666,26.5,37.21666666666,1683,0.0700000002980232,Manhā
65821,AD,22.03965,250.13683,22,100.0,21.053560762804,9363,425,379,351,350,37,0,979.97323,162.2501,9.3333333333,26.683333333333,36.016666666666,1650,0.0640000030398369,Manhā
65822,AD,24.32202,274.45885,24,100.0,21.179042750073,9984,410,382,353,350,146,0,927.18975,161.68954,9.6333333333,28.283333333333,37.916666666666,1688,0.0020000000949949,Manhā
65823,AD,25.2257,299.68455,25,100.0,21.375082895631,9821,389,382,356,351,109,0,863.87736,166.19636,12.183333333,27.566666666666,39.75,1649,0.0610000006854534,Manhā
65824,AD,25.17356,324.85811,25,100.0,0,9495,377,382,353,351,216,0,848.84198,163.71062,10.066666666,26.9,36.966666666666,1664,0.0199999995529652,Manhā
