CORRIDA,TURMA,PRODUCAO (T),PRODUCAO ACUMULADA (T),SUCATA (T),RENDIMENTO (%),POTENCIA (MW),POTENCIA (kWh),kWh/T,kWh/T ACUMULADO,kWh/min,kWh/min ACUMULADO,LAN O2 (Nm3),CARVAO (Kg),CJ O2 (Nm3),CJ GN (Nm3),PW_OFF (min),PW_ON (min),TTT (min),TEMP ,CARBONO (%)
65835,GE,25.9498,25.9498,26,99.80692307692,20.22551576589,11838,456,456,337,337,166,0,997.6306,204.2149,470.9166666,35.11666666666,506.0333333333,1679,0.0359999984502792
65836,DI,27.0794,53.0292,27,100.0,20.66593722491,9782,361,408,344,340,160,198,775.13825,182.01549,95.25,28.4,123.65,0,0
65837,DI,26.18731,79.21651,26,100.0,20.62872018859,10767,411,409,344,342,134,250,1034.76515,193.98957,9.9,31.31666666666,41.21666666666,0,0
65838,DI,26.26841,105.48492,26,100.0,20.50476170337,11574,441,417,342,342,157,232,1140.0617,216.6655,12.78333333,33.86666666666,46.65,1644,0.0430000014603138
65839,DI,26.12359,131.60851,26,100.0,19.77963651035,9681,371,408,330,339,136,136,816.3998,202.1455,19.5,29.36666666666,48.86666666666,1634,0.0469999983906746
65840,DI,25.27784,156.88635,25,100.0,20.64988107590,10193,403,407,344,340,128,139,870.91067,175.48766,6.883333333,29.61666666666,36.5,1645,0.0370000004768372
65841,DI,25.1446,182.03095,25,100.0,20.48240940824,9627,383,404,341,340,134,138,832.8418,195.9741,15.41666666,28.2,43.61666666666,1644,0.0439999997615814
65842,DI,25.33576,207.36671,25,100.0,21.21665575916,10131,400,403,354,342,134,209,846.67512,166.37976,6.3,28.65,34.95,1643,0.0529999993741512
65843,DI,25.04033,232.40704,25,100.0,21.24543351811,9448,377,400,354,343,115,130,803.51856,158.72972,5.633333333,26.68333333333,32.31666666666,1655,0.0759999975562096
65844,DI,26.14097,258.54801,26,100.0,21.177258649553,9883,378,398,353,344,177,175,839.55149,170.27527,9.2,28,37.2,1653,0.0710000023245811
65845,DI,26.05407,284.60208,26,100.0,20.640998641304,9627,370,395,344,344,121,172,797.47101,182.50383,10.316666666,27.983333333333,38.3,1672,0.0370000004768372
